Class Times	30
Rooms	30
1	229
2	917
3	829
4	630
5	956
6	202
7	307
8	807
9	340
10	262
11	136
12	379
13	928
14	448
15	814
16	401
17	783
18	16
19	808
20	846
21	144
22	741
23	878
24	263
25	147
26	361
27	152
28	308
29	777
30	76
Classes	200
Teachers	100
1	52
2	44
3	44
4	66
5	79
6	1
7	78
8	57
9	98
10	90
11	46
12	100
13	77
14	81
15	19
16	16
17	99
18	91
19	91
20	60
21	99
22	63
23	47
24	77
25	88
26	95
27	49
28	6
29	98
30	85
31	78
32	15
33	7
34	13
35	23
36	16
37	58
38	75
39	70
40	9
41	37
42	67
43	8
44	87
45	59
46	64
47	96
48	61
49	29
50	94
51	95
52	86
53	24
54	89
55	81
56	3
57	18
58	36
59	35
60	19
61	75
62	87
63	14
64	14
65	15
66	82
67	20
68	45
69	40
70	94
71	34
72	60
73	23
74	2
75	32
76	90
77	67
78	50
79	25
80	100
81	13
82	1
83	38
84	21
85	49
86	83
87	31
88	42
89	30
90	18
91	76
92	74
93	83
94	28
95	72
96	28
97	89
98	38
99	79
100	58
101	74
102	88
103	7
104	41
105	48
106	24
107	37
108	71
109	47
110	85
111	53
112	42
113	82
114	65
115	59
116	31
117	86
118	22
119	5
120	3
121	72
122	36
123	54
124	97
125	93
126	27
127	80
128	73
129	32
130	55
131	73
132	30
133	39
134	51
135	43
136	17
137	22
138	39
139	11
140	46
141	93
142	84
143	52
144	5
145	64
146	68
147	26
148	21
149	26
150	55
151	45
152	29
153	41
154	40
155	17
156	53
157	65
158	35
159	56
160	96
161	50
162	66
163	92
164	2
165	69
166	4
167	34
168	76
169	48
170	12
171	71
172	11
173	33
174	92
175	61
176	4
177	9
178	68
179	54
180	63
181	10
182	97
183	56
184	27
185	62
186	33
187	80
188	8
189	6
190	12
191	43
192	25
193	51
194	62
195	57
196	84
197	10
198	69
199	20
200	70
