Class Times	6
Rooms	50
1	13
2	34
3	35
4	41
5	69
6	28
7	65
8	34
9	36
10	52
11	20
12	27
13	17
14	19
15	40
16	62
17	27
18	21
19	38
20	33
21	14
22	17
23	57
24	15
25	31
26	44
27	66
28	24
29	13
30	37
31	54
32	46
33	13
34	11
35	64
36	50
37	14
38	59
39	11
40	21
41	10
42	41
43	36
44	18
45	59
46	31
47	56
48	33
49	34
50	15
Classes	100
Teachers	50
1	39
2	39
3	44
4	6
5	4
6	23
7	17
8	46
9	2
10	16
11	36
12	47
13	47
14	46
15	4
16	45
17	29
18	33
19	21
20	26
21	23
22	6
23	29
24	34
25	3
26	37
27	50
28	9
29	3
30	9
31	48
32	11
33	13
34	8
35	25
36	44
37	30
38	36
39	11
40	5
41	45
42	19
43	31
44	17
45	25
46	2
47	35
48	13
49	35
50	19
51	12
52	49
53	31
54	28
55	32
56	42
57	24
58	49
59	38
60	48
61	7
62	1
63	12
64	38
65	14
66	43
67	8
68	42
69	32
70	5
71	10
72	10
73	41
74	34
75	7
76	18
77	20
78	33
79	16
80	14
81	1
82	43
83	24
84	27
85	22
86	20
87	22
88	26
89	37
90	18
91	28
92	27
93	15
94	30
95	40
96	41
97	50
98	15
99	40
100	21
