Class Times	6
Rooms	20
1	57
2	33
3	35
4	29
5	41
6	68
7	38
8	41
9	25
10	47
11	52
12	65
13	18
14	30
15	43
16	43
17	34
18	32
19	10
20	58
Classes	90
Teachers	45
1	12
2	21
3	28
4	5
5	2
6	17
7	42
8	19
9	10
10	34
11	44
12	27
13	2
14	37
15	31
16	30
17	37
18	39
19	40
20	7
21	38
22	41
23	33
24	20
25	29
26	1
27	43
28	25
29	3
30	29
31	9
32	16
33	24
34	18
35	40
36	38
37	45
38	3
39	4
40	9
41	15
42	21
43	4
44	26
45	18
46	36
47	23
48	45
49	16
50	26
51	31
52	24
53	28
54	42
55	5
56	7
57	23
58	25
59	15
60	19
61	39
62	22
63	22
64	8
65	34
66	43
67	13
68	35
69	8
70	6
71	27
72	20
73	30
74	17
75	44
76	1
77	11
78	35
79	12
80	36
81	6
82	11
83	32
84	32
85	10
86	41
87	33
88	13
89	14
90	14
